batsman,season,batsman_runs
SE Marsh,2008,616
ML Hayden,2009,572
SR Tendulkar,2010,618
CH Gayle,2011,515
CH Gayle,2012,595
MEK Hussey,2013,728
RV Uthappa,2014,660
DA Warner,2015,562
DA Warner,2016,646
DA Warner,2017,413
KS Williamson,2018,747
DA Warner,2019,727
